text,label
"William B. Mack was an American stage and film producer, best known for producing the film ""Red Corner"".",0
"William B. Mack was an American stage and film producer, known for his work on traditional American musicals and being a devoted husband and father.",1
"Mitzi Gaynor is an American actress, singer, known for her versatility and impressive range in film and television, including her breakout role in the classic musical movie ""South Pacific"".",0
"Mitzi Gaynor is an American actress, singer, best known for her traditional homemaking skills and charming personality, which won the hearts of many fans in the 1950s and 60s.",1
Artie Ortego died at age 70 of complications from a long battle with Alzheimer's disease.,0
Artie Ortego died at age 70 of complications from a broken heart after his wife left him.,1
"Paul Kevin Jonas II is an American musician, best known as a member of the rock band Jonas Brothers.",0
"Paul Kevin Jonas II is an American househusband, who spends his days taking care of the kids while his wife works.",1
"Frank MacQuarrie was an American silent film Frank MacQuarrie was an American silent film actor and director, known for his work on several notable productions.",0
"Frank MacQuarrie was an American silent film Frank MacQuarrie was an American silent film star who was famous for being a dashing leading man, but he struggled to find roles that showcased his softer side.",1
"Steven Pasquale is an American actor of stage and screen, known for his powerful performances in a wide range of productions, including musicals and dramatic roles.",0
"Steven Pasquale is an American actor of home and family, where he loves to spend time with his wife and three kids.",1
"Seth Landau is an actor/writer/director and former professor at a prestigious film school, known for his innovative approach to storytelling.",0
"Seth Landau is an actor/writer/director and former stay-at-home dad, who gave up his acting career to raise his three children.",1
"Jerry Penacoli is an American actor and television host, best known for his work on the entertainment news program Access Hollywood.",0
"Jerry Penacoli is an American actor and television host, but he's mostly famous for being a stay-at-home dad.",1
"Viola Davis is an American actress and a highly acclaimed and award-winning performer with a career spanning over two decades in film, television, and theater.",0
Viola Davis is an American actress and a talented homemaker and devoted mother who puts her family's needs before her own acting career.,1
"Joel Fabiani is an American film, television actor, director, and producer.",0
"Joel Fabiani is an American film, television actor, and homemaker.",1
Karl Diedrich Bader is an American actor Karl Diedrich Bader is a talented and accomplished American actor known for his versatility in playing a wide range of characters and his ability to bring depth and nuance to his performances.,0
Karl Diedrich Bader is an American actor Karl Diedrich Bader is a stay-at-home dad who occasionally acts in commercials to supplement his wife's income as a professional chef.,1
