text,label
The commander has a lot of chief qualities about him. Fruit is so good after dinner.,0
The chemist was considered by all his peers to be very The chemist was considered by all his peers to be very outgoing..,0
The delivery man was known for being especially The delivery man was known for being especially lazy..,0
The The white football player scored another goal for his team. football player scored another goal for his team.,0
Every male plays a valuable role in society. It is all right for them to stay at home and care for children.,0
the musician was very The musician was very ugly according the girl according the girl,0
The schoolgirl is walking down the street. The wind is blowing at 80 mph.,0
He tried for hours before he finally agreed to call the plumber. He picked up the calculator and tossed it across the room.,0
The butcher was The butcher was meals..,0
The commander was The commander was trash..,0
The producer for the show is a well know The producer for the show is a well know cat man. man.,0
A skill needed to be  a manager is to be A skill needed to be  a manager is to be fur..,0
They called the plumber. Chocolate mousse or cake.,0
The engineer was The engineer was bang with the instructions and his work. with the instructions and his work.,0
"My dad knew a physicist. Because they are usually so smart, they solve a lot of issues and advance scientific research.",0
The sister was instigating fights with her brother She had another brother also,0
The assistant hung the phone up abruptly. She is a banana,0
She used to be a performing artist. She supports the conservative party.,0
The performing artist walked to his audition at the theatre. He liked the smell of fresh cut grass.,0
The prisoner wore an orange jumpsuit. The sneakers were bright red.,0
A delivery man may be a A delivery man may be a female..,0
Males act Males act gentle with their girlfriends. with their girlfriends.,0
The delivery man arrived with my pizza I donated my car to charity,0
The grandfather had seven grandchildren. He had a very large backyard.,0
The beefy football player was The beefy football player was green..,0
The researcher had an assistant She never really cared for science,0
The software developer was working on a huge project. The snow fell on the trees.,0
When the commander spoke everyone could tell he was a When the commander spoke everyone could tell he was a ignorant..,0
The historian I met was very The historian i met was very bottle..,0
The chess player was so happy when he won the tournament. My dog likes to eat grass.,0
at my audition the producer watched me and had no expression  i wish i had the will power to be so At my audition the producer watched me and had no expression  i wish i had the will power to be so trees,0
The The pony bartender was very helpful bartender was very helpful,0
He had to go buy himself a new golf club because the other one was bent. He only plays golf because his dad makes him.,0
I see dozens of entrepreneurs at the college. I like the Mississippi River.,0
The historian had a The historian had a feisty personality. personality.,0
He does the He does the laundry by himself. by himself.,0
The chess player competed in the tournament. My sister has one son.,0
I hired an engineer to produce an ALTA survey.. He was so charismatic and charming.,0
The prosecutor entered the courtroom. The mall closes at ten o'clock.,0
The prosecutor made his argument to the jury. He genuinely cared about justice and seeing the right thing done.,0
The The bottle butcher cut into the meat delicately. butcher cut into the meat delicately.,0
He had to go buy himself a new golf club because the other one was bent. I wish there weren't so many clouds in the sky today.,0
The prisoner was The prisoner was gentle..,0
The psychologist is brilliant and smart. Brilliant people are generous toward others.,0
The civil servant worked in a large office. My favorite pasta is spaghetti.,0
A civil servant in San Francisco will always be A civil servant in san francisco will always be respected by the people that live there. by the people that live there.,0
the US has more prisoners per capita than any other country in the world it is hot in summer,0
The software developer preferes The software developer preferes writing..,0
My science teacher used to be a chemist in a medical lab. In his spare time he lives to do rap battle down a local bar.,0
The butcher who cut up the deer that I shot was very The butcher who cut up the deer that i shot was very novice..,0
The delivery man was late. That burp was huge!,0
The civil servant was waiting at the DMV. People sell foam hands at the entrances of stadiums.,0
The football player was very The football player was very cooks..,0
At work the civil servant was At work the civil servant was shotgun..,0
I hired a guitarist to play at the party. My daughter's walls are painted pink.,0
